apples,195
apricot,35
avocado,170
bananas,120
blackberry,2.45
blueberry,0.5
cherries,5
coconut,680
cranberry,1.13 
fig,50
grapefruit,246
grapes,5
guava,200 
jackfruit (durian),6.8e+3
kiwi,75
lemon,100 
lime,50 
mango,200 
melon (cantaloupe),1.36e+3
melon (honeydew),1.8e+3
nectarine,150
olives,5
orange,130
papaya,450
peach,150
pear,180
pineapple,1.59e+3
plum,65
pomegranate,255
pumpkin,4.5e+3
raspberry,5
strawberry,12
watermelon,9e+3
artichoke,368
asparagus,22
garlic,50
green beans,5
beets,113 
capsicum,170 
broccoli,225 
brussel sprouts,14
cabbage,9.07e+3
carrots,60
cauliflower,500
celery,450
corn,180 
cucumbers,250 
kale,198 
lettuce,800 
mushrooms (white),15
onion (yellow),160
parsnip,115
pea,0.2 
potato,184
snow pea,2.5 
spinach,30
squash (yellow),200
squash (butternut),1.1e+3
sweet potato,113 
tomatoes,170 
zucchini,200
eggplant,140
sourdough,600
passionfruit,42